City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,tuatapere,-46.1333,167.6833,53.51,80,96,7.65,NZ,1674373157
138,constitucion,-35.3333,-72.4167,59.18,65,0,6.13,CL,1674373158
139,duma,34.7653,108.135,38.17,33,100,4.43,CN,1674373160
140,santo antonio do sudoeste,-26.0736,-53.7253,67.1,90,99,1.95,BR,1674373161
141,catalina,32.5056,-110.9211,37.96,64,0,1.16,US,1674373162
142,tuktoyaktuk,69.4541,-133.0374,-14.48,98,100,4.41,CA,1674373163
143,roma,43.2128,-75.4557,30.34,80,100,3.44,US,1674373134
144,amuntai,-2.4177,115.2494,80.06,90,100,2.73,ID,1674373164
145,port macquarie,-31.4333,152.9167,69.89,86,48,6.08,AU,1674373165
146,okhotsk,59.3833,143.3,-9.33,79,100,11.39,RU,1674373166
147,odda,60.0691,6.5457,21.7,51,0,5.97,NO,1674373167
148,ribeira grande,38.5167,-28.7,61.77,77,75,17.27,PT,1674373168
149,torbay,47.6666,-52.7314,32.76,97,100,31.07,CA,1674372940
150,qaqortoq,60.7167,-46.0333,4.35,60,14,12.28,GL,1674373169
151,batasan,12.7667,120.7833,84.88,66,12,3.24,PH,1674373170
152,christchurch,-43.5333,172.6333,68.2,43,37,10.36,NZ,1674373171
153,hami,42.8,93.45,20.53,22,0,5.44,CN,1674373172
154,kawhia,-38.0651,174.8183,65.52,80,25,6.78,NZ,1674373172
155,otjiwarongo,-20.4637,16.6477,76.82,53,90,10.36,NA,1674373173
156,launceston,-41.45,147.1667,71.35,64,100,10.36,AU,1674373174
157,contamana,-7.3333,-75.0167,73.58,82,100,2.17,PE,1674373175
158,karacakoy,41.4029,28.3834,55.67,66,100,2.55,TR,1674373176
159,namibe,-15.1961,12.1522,73.22,73,100,4.85,AO,1674373177
160,nicoya,10.1483,-85.452,69.33,85,5,1.5,CR,1674373177
161,ponta delgada,37.7333,-25.6667,57.92,72,75,11.5,PT,1674373178
162,bhinmal,25.0,72.25,72.36,28,0,4.97,IN,1674373179
163,godda,24.8333,87.2167,82.47,27,0,8.39,IN,1674373180
164,mandalgovi,45.7625,106.2708,-9.45,60,100,19.89,MN,1674373181
165,marsh harbour,26.5412,-77.0636,74.14,81,100,13.62,BS,1674373182
166,taoudenni,22.6783,-3.9836,57.22,13,0,9.35,ML,1674373183
167,itupiranga,-5.1347,-49.3267,73.72,98,80,2.77,BR,1674373184
168,bambous virieux,-20.3428,57.7575,84.22,74,75,12.66,MU,1674373185
169,maragogi,-9.0122,-35.2225,75.49,81,9,5.5,BR,1674373185
170,omboue,-1.5746,9.2618,81.39,78,40,5.21,GA,1674373186
171,geraldton,-28.7667,114.6,79.21,61,23,14.97,AU,1674373178
172,broken hill,-31.95,141.4333,86.4,22,31,11.52,AU,1674373188
173,alyangula,-13.8483,136.4192,85.93,70,81,17.54,AU,1674373189
174,san policarpo,12.1791,125.5072,79.54,83,100,17.09,PH,1674373189
175,visby,57.6409,18.296,33.06,86,100,9.22,SE,1674373190
176,sinjar,36.3209,41.8754,53.78,42,0,2.86,IQ,1674373191
177,saint-philippe,-21.3585,55.7679,85.59,82,100,8.99,RE,1674373192
178,tarakan,3.3,117.6333,80.1,89,75,3.44,ID,1674373193
179,kaitangata,-46.2817,169.8464,53.19,88,60,8.48,NZ,1674373194
180,montepuez,-13.1256,38.9997,69.87,94,100,8.1,MZ,1674373194
181,haines junction,60.7522,-137.5108,13.71,99,100,0.6,CA,1674373195
182,flinders,-34.5833,150.8552,71.38,82,99,5.99,AU,1674373196
183,hamilton,39.1834,-84.5333,31.98,85,75,3.44,US,1674373107
184,viedma,-40.8135,-62.9967,66.88,69,3,9.28,AR,1674373197
185,najran,17.4924,44.1277,65.05,21,1,3.85,SA,1674373198
186,ambagarh chauki,20.7833,80.7167,89.46,18,2,2.08,IN,1674373199
187,sistranda,63.7256,8.834,33.76,53,13,4.76,NO,1674373171
188,sechura,-5.5569,-80.8222,71.69,75,55,8.01,PE,1674373201
189,zhigansk,66.7697,123.3711,-46.05,99,92,5.39,RU,1674373201
190,bethel,41.3712,-73.414,34.75,71,100,1.01,US,1674373202
191,aksarka,66.5606,67.7975,7.09,95,100,2.8,RU,1674373203
192,mehamn,71.0357,27.8492,39.15,75,100,29.93,NO,1674373204
